study,bullet_dir,filename,bullet_code
Clones 224 2,Set 2/Unknown/Bullet I,Clones 224 2 - Set 2 - Barrel Unknown - Bullet I - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.2.U.I
Clones 224 2,Set 2/Unknown/Bullet J,Clones 224 2 - Set 2 - Barrel Unknown - Bullet J - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.2.U.J
Clones 224 2,Set 2/Unknown/Bullet N,Clones 224 2 - Set 2 - Barrel Unknown - Bullet N - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.2.U.N
Clones 224 2,Set 2/Unknown/Bullet P,Clones 224 2 - Set 2 - Barrel Unknown - Bullet P - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.2.U.P
Clones 224 2,Set 2/Unknown/Bullet Q,Clones 224 2 - Set 2 - Barrel Unknown - Bullet Q - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.2.U.Q
Clones 224 2,Set 2/Unknown/Bullet R,Clones 224 2 - Set 2 - Barrel Unknown - Bullet R - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.2.U.R
Clones 224 2,Set 2/Unknown/Bullet S,Clones 224 2 - Set 2 - Barrel Unknown - Bullet S - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.2.U.S
Clones 224 2,Set 2/Unknown/Bullet T,Clones 224 2 - Set 2 - Barrel Unknown - Bullet T - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.2.U.T
Clones 224 2,Set 2/Unknown/Bullet U,Clones 224 2 - Set 2 - Barrel Unknown - Bullet U - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.2.U.U
Clones 224 2,Set 2/Unknown/Bullet V,Clones 224 2 - Set 2 - Barrel Unknown - Bullet V - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.2.U.V
Clones 224 2,Set 2/Unknown/Bullet W,Clones 224 2 - Set 2 - Barrel Unknown - Bullet W - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.2.U.W
Clones 224 2,Set 2/Unknown/Bullet Z,Clones 224 2 - Set 2 - Barrel Unknown - Bullet Z - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.2.U.Z
Clones 224 2,Set 3/Barrel 1/Bullet 1/Scan 1,Clones 224 2 - Set 3 - Barrel 1 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.3.1.1
Clones 224 2,Set 3/Barrel 1/Bullet 1/Scan 2,Clones 224 2 - Set 3 - Barrel 1 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Sammi Springer.x3p,cln2242.3.1.1
Clones 224 2,Set 3/Barrel 1/Bullet 2/Scan 1,Clones 224 2 - Set 3 - Barrel 1 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.3.1.2
Clones 224 2,Set 3/Barrel 1/Bullet 2/Scan 2,Clones 224 2 - Set 3 - Barrel 1 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Sammi Springer.x3p,cln2242.3.1.2
Clones 224 2,Set 3/Barrel 10/Bullet 1,Clones 224 2 - Set 3 - Barrel 10 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.3.10.1
Clones 224 2,Set 3/Barrel 10/Bullet 2,Clones 224 2 - Set 3 - Barrel 10 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.3.10.2
Clones 224 2,Set 3/Barrel 2/Bullet 1/Scan 1,Clones 224 2 - Set 3 - Barrel 2 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.3.2.1
Clones 224 2,Set 3/Barrel 2/Bullet 1/Scan 2,Clones 224 2 - Set 3 - Barrel 2 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image + 20% x10- threshold 2 - resolution 4 - Sammi Springer.x3p,cln2242.3.2.1
Clones 224 2,Set 3/Barrel 2/Bullet 2/Scan 1,Clones 224 2 - Set 3 - Barrel 2 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.3.2.2
Clones 224 2,Set 3/Barrel 2/Bullet 2/Scan 2,Clones 224 2 - Set 3 - Barrel 2 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Sammi Springer.x3p,cln2242.3.2.2
Clones 224 2,Set 3/Barrel 3/Bullet 1,Clones 224 2 - Set 3 - Barrel 3 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.3.3.1
